Order Region,avg_delivery_delay
South Asia,0.5974647522959514
Eastern Europe,0.5798469387755102
Southern Europe,0.5156399109320327
West of USA ,0.5572375828850245
Central Asia,0.6455696202531646
Central America,0.5619420627359656
East of USA,0.5848156182212582
North Africa,0.5522896039603961
Northern Europe,0.546875
Caribbean,0.5465256071170954
South America,0.5563441580180783
Southern Africa,0.4788245462402766
South of  USA ,0.5799752781211372
Western Europe,0.5974030764690693
Oceania,0.556267244777296
Canada,0.3910323253388947
US Center ,0.5872260913878037
West Asia,0.5694791146613413
Eastern Asia,0.5664835164835165
East Africa,0.5707343412526998
Southeast Asia,0.5582346157878184
Central Africa,0.6398330351818724
West Africa,0.5505952380952381
